frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C1,C1,C1,C1,C1
1,C1,C1,C1,C1,C1
2,C1,C1,C1,C1,C1
3,C1,C1,C1,C1,C1
4,C1,C1,C1,C1,C1
5,C1,C1,C1,C1,C1
6,C1,C1,C1,C1,C1
7,C1,C1,C1,C1,C1
8,C1,C1,C1,C1,C1
9,C1,C1,C1,C1,C1
10,C1,C1,C1,C1,C1
11,C1,C1,C1,C1,C1
12,C1,C1,C1,C1,C1
13,C1,C1,C1,C1,C1
14,C1,C1,C1,C1,C1
15,C1,C1,C1,C1,C1
16,C1,C1,C1,C1,C1
17,C1,C1,C1,C1,C1
18,C1,C1,C1,C1,C1
19,C1,C1,C1,C1,C1
20,C1,C1,C1,C1,C1
21,C1,C1,C1,C1,C1
22,C1,C1,C1,C1,C1
23,C1,C1,C1,C1,C1
24,C1,C1,C1,C1,C1
25,C1,C1,C1,C1,C1
26,C1,C1,C1,C1,C1
27,C1,C1,C1,C1,C1
28,C1,C1,C1,C1,C1
29,C1,C1,C1,C1,C1
30,C1,C1,C1,C1,C1
31,C1,C1,C1,C1,C1
32,C1,C1,C1,C1,C1
33,C1,C1,C1,C1,C1
34,C1,C1,C1,C1,C1
35,C1,C1,C1,C1,C1
36,C1,C1,C1,C1,C1
37,C1,C1,C1,C1,C1
38,C1,C1,C1,C1,C4
39,C1,C1,C1,C1,C4
40,C1,C1,C1,C1,C4
41,C1,C1,C1,C1,C4
42,C1,C1,C1,C1,C4
43,C1,C1,C1,C1,C4
44,C1,C1,C1,C1,C4
45,C1,C1,C1,C1,C4
46,C1,C1,C1,C1,C4
47,C1,C1,C1,C1,C4
48,C1,C1,C1,C1,C4
49,C1,C1,C1,C1,C4
50,C1,C1,C1,C1,C4
51,C1,C1,C1,C1,C4
52,C1,C1,C1,C1,C4
53,C1,C1,C1,C1,C4
54,C1,C1,C1,C1,C4
55,C1,C1,C1,C1,C4
56,C1,C1,C1,C1,C4
57,C1,C1,C1,C1,C4
58,C1,C1,C1,C1,C4
59,C1,C1,C1,C1,C4
60,C1,C1,C1,C1,C4
61,C1,C1,C1,C1,C4
62,C1,C1,C1,C1,C4
63,C1,C1,C1,C1,C4
64,C1,C1,C1,C1,C4
65,C1,C1,C1,C1,C4
66,C1,C1,C1,C1,C4
67,C1,C1,C1,C1,C4
68,C1,C1,C1,C1,C1
69,C1,C1,C1,C1,C1
70,C1,C1,C1,C1,C1
71,C1,C1,C1,C1,C1
72,C1,C1,C1,C1,C1
73,C1,C1,C1,C1,C1
74,C1,C1,C1,C1,C1
75,C1,C1,C1,C1,C1
76,C1,C1,C1,C1,C1
77,C1,C1,C1,C1,C1
78,C1,C1,C1,C1,C1
79,C1,C1,C1,C1,C1
80,C1,C1,C1,C1,C1
81,C1,C1,C1,C1,C1
82,C1,C1,C1,C1,C1
83,C1,C1,C1,C1,C1
84,C1,C1,C1,C1,C1
85,C1,C1,C1,C1,C1
86,C1,C1,C1,C1,C1
87,C1,C1,C1,C1,C1
88,C1,C1,C1,C1,C1
89,C1,C1,C1,C1,C1
90,C1,C1,C1,C1,C1
91,C1,C1,C1,C1,C1
92,C1,C1,C1,C1,C1
93,C1,C1,C1,C1,C1
94,C1,C1,C1,C1,C1
95,C1,C1,C1,C1,C1
96,C1,C1,C1,C1,C1
97,C1,C1,C1,C1,C1
98,C1,C1,C1,C1,C1
99,C1,C1,C1,C1,C1
100,C4,C4,C1,C1,C1
101,C4,C4,C1,C1,C1
102,C4,C4,C1,C1,C1
103,C4,C4,C1,C1,C1
104,C4,C4,C1,C1,C4
105,C4,C4,C1,C1,C4
106,C4,C4,C4,C4,C4
107,C4,C4,C4,C4,C4
108,C4,C4,C4,C4,C4
109,C4,C4,C4,C4,C4
110,C4,C4,C4,C4,C4
111,C4,C4,C4,C4,C4
112,C4,C4,C4,C4,C4
113,C4,C4,C4,C4,C4
114,C4,C4,C4,C4,C4
115,C4,C4,C4,C4,C4
116,C4,C4,C4,C4,C4
117,C4,C4,C4,C4,C4
118,C4,C4,C4,C4,C4
119,C4,C4,C4,C4,C4
120,C4,C4,C4,C4,C4
121,C4,C4,C4,C4,C4
122,C4,C4,C4,C4,C4
123,C4,C4,C4,C4,C4
124,C4,C4,C4,C4,C4
125,C4,C4,C4,C4,C4
126,C4,C4,C4,C4,C4
127,C4,C4,C4,C4,C4
128,C4,C4,C4,C4,C4
129,C4,C4,C4,C4,C4
130,C4,C4,C4,C4,C4
131,C4,C4,C4,C4,C4
132,C4,C4,C4,C4,C4
133,C4,C4,C4,C4,C4
134,C4,C4,C4,C4,C4
135,C4,C4,C4,C4,C4
136,C4,C4,C4,C4,C4
137,C4,C4,C4,C4,C4
138,C4,C4,C4,C4,C4
139,C4,C4,C4,C4,C4
140,C4,C4,C4,C4,C4
141,C4,C4,C4,C4,C4
142,C4,C4,C4,C4,C4
143,C4,C4,C4,C4,C4
144,C4,C4,C4,C4,C4
145,C4,C4,C4,C4,C4
146,C4,C4,C4,C4,C4
147,C4,C4,C4,C4,C4
148,C4,C4,C4,C4,C4
149,C4,C4,C4,C4,C4
150,C1,C1,C1,C1,C4
151,C1,C1,C1,C1,C4
152,C1,C1,C1,C1,C1
153,C1,C1,C1,C1,C1
154,C1,C1,C1,C1,C1
155,C1,C1,C1,C1,C1
156,C1,C1,C1,C1,C1
