frame_idx,timestamp_ns,blur,illumination,occlusion,blur_z,blur_fault,illumination_z,illumination_fault,occlusion_z,occlusion_fault,any_fault
0,1566878892178369536,11.210699676106955,5.665447442217393,1.0,-0.3739927261660604,False,-0.09241754328733416,False,0.9662374646367398,False,False
1,1566878892245110016,10.077126968818964,5.660669268593599,1.0,-0.3946428891760852,False,-0.09386031852418443,False,0.9662374646367398,False,False
2,1566878892311860224,10.094960378570093,5.665184891879876,1.0,-0.4087731341185419,False,-0.093506763341358,False,0.9662374646367398,False,False
3,1566878892578996480,7.871235736485298,5.677063219475362,0.35,-0.45917364040365766,False,-0.08967259949826889,False,-10.874801784160375,False,False
4,1566878892712485120,9.401963263057185,5.677582394864134,1.0,-0.4665689083465736,False,-0.08683191917891957,False,-7.322490009521242,False,False
5,1566878892779373056,9.840152205867431,5.658154920495325,1.0,-0.4637631585737062,False,-0.09070959206185926,False,-4.835871767273846,False,False
6,1566878892846114816,9.899204969023598,5.671638763654865,1.0,-0.46072337637057553,False,-0.0893525005212376,False,-3.0952389977006742,False,False
7,1566878892912866048,9.233717027095258,5.642924025145942,1.0,-0.4707186457609575,False,-0.09707298605706138,False,-1.8767960589994472,False,False
8,1566878892979624192,11.097584391112262,5.64604401787097,1.0,-0.44376147795733717,False,-0.10153524039962238,False,-1.0238860019085898,False,False
9,1566878893046361344,10.361227007165851,5.617173523084558,1.0,-0.4383055978627605,False,-0.11337629884783094,False,-0.426848961944995,False,False
10,1566878893113118464,10.655600406883648,5.579618301873182,1.0,-0.42912391559246144,False,-0.13300488369448865,False,-0.00892303397047458,False,False
11,1566878893179989760,9.613320431014849,5.573137914894236,0.95,-0.4416838318750413,False,-0.14870165368116955,False,-0.6272240573727109,False,False
12,1566878893246776576,8.991573191473579,5.557153755407609,1.0,-0.4618020708848257,False,-0.1645158287340099,False,-0.14918560076988246,False,False
13,1566878893313514496,9.764425505465441,5.552931963670555,1.0,-0.46180587690052927,False,-0.17686052633212784,False,0.18544131885210016,False,False
14,1566878893380240128,10.08368511062916,5.553376157042148,1.0,-0.4559926257787331,False,-0.18536768993133254,False,0.41968016258748797,False,False
15,1566878893446998528,9.663302340328714,5.560225748491812,1.0,-0.45958141433950156,False,-0.1892544621255285,False,0.5836473532022649,False,False
16,1566878893513859840,11.230531858785476,5.563342799485789,1.0,-0.4335435273074738,False,-0.1910340053881577,False,0.6984243866325992,False,False
17,1566878893580616960,10.94852200179354,5.582958522538843,1.0,-0.4204543473600763,False,-0.18635669465030003,False,0.7787683100338441,False,False
18,1566878893647367168,10.821495523007519,5.556320575229618,1.0,-0.41360594808142936,False,-0.19112593716300966,False,0.8350090564147101,False,False
19,1566878893714121984,10.540245615358863,5.571244368328431,1.0,-0.4139355656520338,False,-0.1899581497579537,False,0.874377578881319,False,False
20,1566878893780859648,12.69713657331091,5.565274820141823,1.0,-0.374874464626431,False,-0.19094321078450432,False,0.9019355446079358,False,False
21,1566878893847738624,12.120598306696209,5.589385710453922,1.0,-0.3580344248851521,False,-0.18435244135464351,False,0.9212261206165703,False,False
22,1566878893914513664,12.347493141229535,5.59152524029799,1.0,-0.34211308008612645,False,-0.17909286916003656,False,0.9347295238226143,False,False
23,1566878893981247232,12.828528958689501,5.632894661269343,1.0,-0.3222051648299033,False,-0.16291962251442652,False,0.9441819060668506,False,False
24,1566878894047984384,12.482898723337948,5.58492901793175,0.9642857142857143,-0.3145659302060082,False,-0.16608163319955074,False,0.30019202150610086,False,False
25,1566878894114738432,10.716418538327376,5.600409232139547,0.9333333333333333,-0.34139823136052744,False,-0.1636207714962612,False,-0.7144599095338987,False,False
26,1566878894181642240,10.857759728058928,5.600182130398202,1.0,-0.3576060460491105,False,-0.16196674194620306,False,-0.21025069728270984,False,False
27,1566878894248360960,9.700824783282012,5.599331447283155,1.0,-0.3900272665216777,False,-0.1610657860445353,False,0.14269575129311965,False,False
28,1566878894315111168,10.742852059736197,5.705734306030021,1.0,-0.3937396303767188,False,-0.12830664653600024,False,0.38975826529620705,False,False
29,1566878894381893376,10.373103524078092,5.69687478094284,1.0,-0.4030739514202189,False,-0.10805039306950837,False,0.5627020250983655,False,False
30,1566878894448645632,10.109948460503956,5.719618645276875,1.0,-0.4144018415329085,False,-0.08700347862254124,False,0.6837626569598805,False,False
31,1566878894515484928,9.771430550062465,5.708310160395158,1.0,-0.42849810626628454,False,-0.07568524903624312,False,0.768505099262941,False,False
32,1566878894582266880,10.135018968540207,5.748160789131428,0.9814814814814815,-0.43174204337747185,False,-0.055729543347179285,False,0.49047326332530794,False,False
33,1566878894648988928,9.60327138337746,5.735354896998449,0.8625954198473282,-0.4436995836640645,False,-0.045627303800718194,False,-1.8698944402078392,False,False
34,1566878894715746048,9.502576276669219,5.71927477854298,0.8771929824561403,-0.45390421298699224,False,-0.04341114710569716,False,-3.2562282760845607,False,False
35,1566878894782500352,9.892023764042337,5.700722502189692,0.9782608695652174,-0.45395293364114053,False,-0.047461719438793695,False,-2.3855099334266083,False,False
36,1566878894849278976,9.359190431633268,5.68154672167767,0.8571428571428571,-0.46369360133992044,False,-0.056087269917550545,False,-3.982411922534443,False,False
37,1566878894916111616,7.5070917669611825,5.635383229730447,0.8888888888888888,-0.5042515360700094,False,-0.07606427682337699,False,-4.52192637968174,False,False
38,1566878894982872064,7.037701026103723,5.600251794911953,0.8524590163934426,-0.5411929272632446,False,-0.10065616039198952,False,-5.56322888437294,False,False
39,1566878895049646592,7.154779174573622,5.610515481540299,1.0,-0.5649191019976918,False,-0.11477134644484664,False,-3.6043889796700332,False,False
40,1566878895116393984,8.215383274453599,5.695107079596866,1.0,-0.5622065219904878,False,-0.09910944253997553,False,-2.233201046378011,False,False
41,1566878895183148544,7.484718295147181,5.736094529571129,1.0,-0.5736181554759051,False,-0.07576990029630387,False,-1.2733694930735884,False,False
42,1566878895250014208,7.735794978522215,5.6985934224987,1.0,-0.5770324639897355,False,-0.0707557248297106,False,-0.601487405760498,False,False
43,1566878895316765696,7.328266402005898,5.678508599420384,0.9523809523809523,-0.5868463809327413,False,-0.07331043833811635,False,-0.9986453474836081,False,False
44,1566878895383527168,7.591066040202338,5.643895219585939,0.8571428571428571,-0.5889287321536377,False,-0.08555028920689275,False,-3.0116067123743475,False,False
45,1566878895450235136,6.227487937132087,5.625779431314154,1.0,-0.6152265227332274,False,-0.09958826873672275,False,-1.8182534592710247,False,False
46,1566878895517017856,5.74489136677605,5.62349931312052,0.8461538461538461,-0.6424263820909883,False,-0.11010333882149745,False,-3.7855190220506763,False,False
47,1566878895583862784,4.9573913443210165,5.574694739695516,0.875,-0.6758120805449125,False,-0.13220048716052385,False,-4.637115008505438,False,False
48,1566878895650614016,5.683530197470685,5.561977803158466,1.0,-0.6859540818893458,False,-0.1515083851852105,False,-2.9561092665627844,False,False
49,1566878895717406464,6.053800500952507,5.62915030965499,1.0,-0.68630831150133,False,-0.14474109517746417,False,-1.7794052472029311,False,False
50,1566878895784139520,6.072738267529747,5.644136798301182,1.0,-0.6862112851244793,False,-0.13547880401261905,False,-0.9557124336510272,False,False
51,1566878895850868224,6.1971536725483105,5.663037349220881,1.0,-0.6838769056052318,False,-0.12328815625601142,False,-0.37912746416470655,False,False
52,1566878895917771776,5.888519222294267,5.59952843034544,1.0,-0.6878651980554286,False,-0.13393129679029925,False,0.02448201447573002,False,False
53,1566878895984485376,5.569718501893907,5.600842851309785,1.0,-0.6964645586526504,False,-0.1409846041830455,False,0.3070086495240343,False,False
54,1566878896051245824,5.4025613181849375,5.57220859941193,1.0,-0.705529194169209,False,-0.1545680659438123,False,0.5047772940578445,False,False
55,1566878896117991680,4.963505651379591,5.620454672760482,1.0,-0.7198726653745663,False,-0.1495085296623019,False,0.6432153452315037,False,False
56,1566878896184734976,4.921284811966555,5.615019690712555,1.0,-0.7306822273707525,False,-0.14760795359081616,False,0.7401219810530705,False,False
57,1566878896251526656,4.965658650133969,5.602812476267672,1.0,-0.7374405676861445,False,-0.1499635333331657,False,0.8079566261281685,False,False
58,1566878896318389248,5.732609503867847,5.5895756910511025,1.0,-0.7281999508353046,False,-0.15560930227031194,False,0.8554408776807386,False,False
59,1566878896385144576,6.624216289607215,5.59357280144151,0.8333333333333334,-0.7054892212603256,False,-0.15835440826635694,False,-2.1474840561804407,False,False
60,1566878896451893248,7.483990773767395,5.586181069768507,1.0,-0.6739292981376929,False,-0.16250792467727035,False,-1.213367599935286,False,False
61,1566878896518643712,6.7393491316775656,5.588184443703156,1.0,-0.6654024026930556,False,-0.16481046501079546,False,-0.5594860805636823,False,False
62,1566878896585383168,6.841933229556758,5.60289168427253,1.0,-0.6575648132256322,False,-0.16198137437541038,False,-0.10176901700355298,False,False
63,1566878896652242688,6.273761404872705,5.594298159528781,1.0,-0.6624288210692763,False,-0.16259583599848546,False,0.21863292748853214,False,False
64,1566878896719014656,6.565404509790845,5.590885612408475,1.0,-0.6605207978205768,False,-0.16405638181648458,False,0.44291428863298904,False,False
65,1566878896785765632,6.929382584403323,5.569805570744861,1.0,-0.6525546350235343,False,-0.17144390766547804,False,0.599911241434117,False,False
66,1566878896852501504,6.618699130672127,5.545082808442046,1.0,-0.6526380056388296,False,-0.18408024338716003,False,0.7098091083949037,False,False
67,1566878896919285504,6.466046543087877,5.519877793975875,1.0,-0.6554772196166243,False,-0.20053636263686517,False,0.7867376152674506,False,False
68,1566878896986139648,4.754135636823634,5.518179867967323,1.0,-0.6886503525475739,False,-0.21256833689939927,False,0.84058757007824,False,False
69,1566878897052864256,4.863170131764803,5.507526140480578,1.0,-0.7098852768052081,False,-0.2242076246317368,False,0.8782825384457926,False,False
70,1566878897119658240,5.099603201478419,5.500281995337923,1.0,-0.7204426498774059,False,-0.23454250432881202,False,0.9046690163030795,False,False
71,1566878897186392320,4.914747074212434,5.484730045078924,1.0,-0.7312003137358889,False,-0.246472850086046,False,0.9231395508031721,False,False
72,1566878897253160448,4.805561725286596,5.480423514651488,0.9,-0.7407196953204632,False,-0.25612445412608453,False,-0.8856294210155481,False,False
73,1566878897320047616,4.950465392388181,5.444885403443527,1.0,-0.7447435690715243,False,-0.2736113521105284,False,-0.3300693553198665,False,False
