frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C1,C1,C1,C1,C1
1,C1,C1,C1,C1,C1
2,C1,C1,C1,C1,C1
3,C1,C1,C1,C1,C1
4,C1,C1,C1,C1,C1
5,C1,C1,C1,C1,C1
6,C1,C1,C1,C1,C1
7,C1,C1,C1,C1,C1
8,C1,C1,C1,C1,C1
9,C1,C1,C1,C1,C1
10,C1,C1,C1,C1,C1
11,C1,C1,C1,C1,C1
12,C1,C1,C1,C1,C1
13,C1,C1,C1,C1,C1
14,C1,C1,C1,C1,C1
15,C1,C1,C1,C1,C1
16,C1,C1,C1,C1,C1
17,C1,C1,C1,C1,C1
18,C1,C1,C1,C1,C1
19,C1,C1,C1,C1,C1
20,C1,C1,C1,C1,C1
21,C1,C1,C1,C1,C1
22,C1,C1,C1,C1,C1
23,C1,C1,C1,C1,C1
24,C1,C1,C1,C1,C1
25,C1,C1,C1,C1,C1
26,C1,C1,C1,C1,C1
27,C1,C1,C1,C1,C1
28,C1,C1,C1,C1,C1
29,C1,C1,C1,C1,C1
30,C1,C1,C1,C1,C1
31,C1,C1,C1,C1,C1
32,C2,C2,C1,C1,C1
33,C2,C2,C1,C1,C1
34,C2,C2,C1,C1,C1
35,C2,C2,C1,C1,C1
36,C2,C2,C2,C2,C1
37,C2,C2,C2,C2,C1
38,C2,C2,C2,C2,C1
39,C2,C2,C2,C2,C1
40,C2,C2,C2,C2,C1
41,C2,C2,C2,C2,C1
42,C2,C2,C2,C2,C1
43,C2,C2,C2,C2,C1
44,C2,C2,C2,C2,C1
45,C2,C2,C2,C2,C1
46,C2,C2,C2,C2,C1
47,C2,C2,C2,C2,C1
48,C2,C2,C2,C2,C2
49,C2,C2,C2,C2,C2
50,C2,C2,C2,C2,C2
51,C2,C2,C2,C2,C2
52,C2,C2,C2,C2,C2
53,C2,C2,C2,C2,C2
54,C2,C2,C2,C2,C2
55,C2,C2,C2,C2,C2
56,C2,C2,C2,C2,C2
57,C2,C2,C2,C2,C2
58,C2,C2,C2,C2,C2
59,C2,C2,C2,C2,C2
60,C2,C2,C2,C2,C2
61,C4,C4,C4,C4,C2
62,C4,C4,C4,C4,C2
63,C4,C4,C4,C4,C4
64,C4,C4,C4,C4,C4
65,C4,C4,C4,C4,C4
66,C4,C4,C4,C4,C4
67,C4,C4,C4,C4,C4
68,C4,C4,C4,C4,C4
69,C4,C4,C4,C4,C2
70,C4,C2,C4,C2,C2
71,C4,C2,C4,C2,C2
72,C2,C2,C2,C2,C2
73,C2,C2,C2,C2,C2
74,C2,C2,C2,C2,C2
75,C2,C2,C2,C2,C2
76,C2,C2,C2,C2,C2
77,C2,C2,C2,C2,C2
78,C2,C2,C2,C2,C2
79,C2,C2,C2,C2,C2
80,C2,C2,C2,C2,C2
81,C2,C2,C2,C2,C2
82,C2,C2,C2,C2,C2
83,C2,C2,C2,C2,C2
84,C2,C2,C2,C2,C2
85,C2,C2,C2,C2,C2
86,C2,C2,C2,C2,C2
87,C2,C2,C2,C2,C2
88,C2,C2,C2,C2,C2
89,C2,C2,C2,C2,C2
90,C2,C2,C2,C2,C2
91,C2,C2,C2,C2,C2
92,C2,C2,C2,C2,C2
93,C2,C2,C2,C2,C2
94,C2,C2,C2,C2,C2
95,C2,C2,C2,C2,C2
96,C2,C2,C2,C2,C2
97,C2,C2,C2,C2,C2
98,C2,C2,C2,C2,C2
99,C2,C2,C2,C2,C2
100,C4,C4,C4,C4,C2
101,C4,C4,C4,C4,C2
102,C4,C4,C4,C4,C2
103,C4,C4,C4,C4,C2
104,C4,C4,C4,C4,C2
105,C4,C4,C4,C4,C2
106,C4,C4,C4,C4,C2
107,C4,C4,C4,C4,C2
108,C4,C4,C4,C4,C4
109,C4,C4,C4,C4,C2
110,C4,C4,C4,C4,C2
111,C4,C4,C4,C4,C2
112,C4,C4,C4,C4,C2
113,C4,C4,C4,C4,C2
114,C4,C4,C4,C4,C2
115,C4,C4,C4,C4,C2
116,C4,C4,C4,C4,C2
117,C4,C4,C4,C4,C2
118,C4,C4,C4,C4,C2
119,C4,C4,C4,C4,C2
120,C4,C4,C4,C4,C2
121,C4,C4,C4,C4,C2
122,C4,C4,C4,C4,C2
123,C2,C2,C2,C2,C2
124,C2,C2,C2,C2,C2
125,C2,C4,C2,C4,C2
126,C2,C4,C2,C4,C2
127,C2,C2,C2,C2,C2
128,C2,C2,C2,C2,C2
129,C2,C2,C2,C2,C1
130,C2,C2,C2,C2,C1
131,C2,C2,C2,C2,C1
132,C2,C2,C2,C2,C1
133,C2,C2,C2,C2,C1
134,C2,C2,C2,C2,C1
135,C2,C2,C2,C2,C1
136,C2,C2,C2,C2,C1
137,C2,C2,C2,C2,C1
138,C2,C2,C2,C2,C1
139,C2,C2,C2,C2,C1
140,C2,C2,C2,C2,C1
141,C2,C2,C2,C2,C1
142,C2,C2,C2,C2,C1
143,C2,C2,C2,C2,C1
144,C2,C2,C2,C2,C1
145,C2,C2,C2,C2,C1
146,C2,C2,C2,C2,C1
147,C2,C2,C2,C2,C1
148,C2,C2,C2,C2,C1
149,C2,C2,C2,C2,C1
150,C2,C2,C2,C2,C1
151,C2,C2,C2,C2,C1
152,C2,C2,C2,C2,C1
153,C2,C2,C2,C2,C1
154,C2,C2,C2,C2,C1
155,C2,C2,C2,C2,C1
156,C2,C2,C2,C2,C1
157,C2,C2,C2,C2,C1
158,C2,C2,C2,C2,C2
