frame_idx,timestamp_ns,blur,illumination,occlusion,soiled_frac,blur_z,blur_fault,illumination_z,illumination_fault,occlusion_z,occlusion_fault,any_fault
0,0,130.31757807158365,7.290757518376577,0.0,1.0,-0.7418027759188272,False,0.044516634783536506,False,-0.7285540090625674,False,False
1,100000000,139.37300129377576,7.250177075484798,0.0,1.0,-0.7357772949543732,False,-0.008945931382399533,False,-0.7285540090625674,False,False
2,200000000,104.84644914070168,7.2493416219379725,0.0007812499999999,0.9992,-0.7545334350511782,False,-0.0474703931261044,False,-0.727935841011599,False,False
3,300000000,120.31271234626172,7.278908773345115,0.0007812499999999,0.9992,-0.7573714775641543,False,-0.035484373507471044,False,-0.727503123375921,False,False
4,400000000,1061.6928849615497,7.559857849261636,0.4988745117187499,0.5011,-0.1329634959143869,False,0.34304124265330904,False,-0.33308138481049165,False,False
5,500000000,730.4215804036353,7.225820889960188,0.4988745117187499,0.5011,0.08369407913034281,False,0.16793332052714577,False,-0.05698616781469114,False,False
6,600000000,645.4836553729846,7.252579278904671,0.4988745117187499,0.5011,0.1788366642811838,False,0.08061052334552875,False,0.13628048408236912,False,False
7,700000000,687.6162252539635,7.405738199966194,0.4988745117187499,0.5011,0.27347149683072547,False,0.22126326381587738,False,0.2715671404103114,False,False
8,800000000,278.14965638240176,7.130558113653308,0.5685709635416667,0.4314,0.06725671831752214,False,-0.04281488459339786,False,0.4214154731618467,False,False
9,900000000,298.4549747642669,7.109624734053413,0.5685709635416667,0.4314,-0.06358246251553525,False,-0.2552481980805893,False,0.5263093060879213,False,False
10,1000000000,325.1485496867471,7.134742878095309,0.5685709635416667,0.4314,-0.13740797741083144,False,-0.3708597042709249,False,0.5997349891361735,False,False
11,1100000000,381.1576576609188,7.185888191517785,0.5685709635416667,0.4314,-0.15181736284154465,False,-0.384406539768814,False,0.6511329672699501,False,False
12,1200000000,336.2683321828815,7.400264116396039,0.2695955403645833,0.7304,-0.1917733014774263,False,-0.1114604931047936,False,0.45054572203352683,False,False
13,1300000000,234.8036631009314,7.397635287775349,0.2695955403645833,0.7304,-0.2872570756880457,False,0.07613839825427751,False,0.3101346503680306,False,False
14,1400000000,240.7565151194566,7.335487069311917,0.2695955403645833,0.7304,-0.35013468835592776,False,0.1255806636283918,False,0.21184690020218327,False,False
