frame_idx,joint_fixed,joint_model_derived,decoupled_fixed,decoupled_model_derived,memoryless
0,C4,C4,C1,C1,C1
1,C4,C4,C1,C1,C1
2,C4,C4,C1,C1,C1
3,C4,C4,C1,C1,C1
4,C4,C4,C1,C1,C1
5,C4,C1,C1,C1,C1
6,C4,C1,C1,C1,C1
7,C4,C1,C1,C1,C1
8,C4,C1,C1,C1,C1
9,C4,C1,C1,C1,C1
10,C4,C1,C1,C1,C1
11,C1,C1,C1,C1,C1
12,C1,C1,C1,C1,C1
13,C1,C1,C1,C1,C1
14,C1,C1,C1,C1,C1
15,C1,C1,C1,C1,C1
16,C1,C1,C1,C1,C1
17,C1,C1,C1,C1,C1
18,C1,C1,C1,C1,C1
19,C1,C1,C1,C1,C1
20,C1,C1,C1,C1,C1
21,C1,C1,C1,C1,C1
22,C1,C1,C1,C1,C1
23,C1,C1,C1,C1,C1
24,C1,C1,C1,C1,C1
25,C1,C1,C1,C1,C1
26,C1,C1,C1,C1,C1
27,C1,C1,C1,C1,C1
28,C1,C1,C1,C1,C1
29,C1,C1,C1,C1,C1
30,C1,C1,C1,C1,C1
31,C1,C1,C1,C1,C1
32,C1,C1,C1,C1,C1
33,C1,C1,C1,C1,C1
34,C1,C1,C1,C1,C1
35,C1,C1,C1,C1,C1
36,C1,C1,C1,C1,C1
37,C1,C1,C1,C1,C1
38,C1,C1,C1,C1,C4
39,C1,C1,C1,C1,C4
40,C1,C1,C1,C1,C4
41,C1,C1,C1,C1,C4
42,C1,C1,C1,C1,C4
43,C2,C2,C2,C2,C4
44,C2,C2,C2,C2,C4
45,C2,C2,C2,C2,C4
46,C2,C2,C2,C2,C4
47,C2,C2,C2,C2,C4
48,C2,C2,C2,C2,C4
49,C2,C2,C2,C2,C4
50,C2,C2,C2,C2,C4
51,C2,C2,C2,C2,C4
52,C2,C2,C2,C2,C4
53,C2,C2,C2,C2,C4
54,C1,C1,C1,C1,C4
55,C1,C1,C1,C1,C4
56,C1,C1,C1,C1,C4
57,C1,C1,C1,C1,C4
58,C1,C1,C1,C1,C4
59,C1,C1,C1,C1,C4
60,C1,C1,C1,C1,C4
61,C1,C1,C1,C1,C4
62,C1,C1,C1,C1,C4
63,C1,C1,C1,C1,C4
64,C1,C4,C1,C1,C4
65,C4,C4,C1,C1,C4
66,C4,C4,C1,C1,C4
67,C4,C4,C1,C1,C4
68,C4,C4,C4,C4,C4
69,C4,C4,C4,C4,C4
70,C4,C4,C4,C4,C4
71,C4,C4,C4,C4,C4
72,C4,C4,C4,C4,C4
73,C4,C4,C4,C4,C4
74,C4,C4,C4,C4,C4
75,C4,C4,C4,C4,C4
76,C4,C4,C4,C4,C4
77,C4,C4,C4,C4,C4
78,C4,C4,C4,C4,C4
79,C4,C4,C4,C4,C4
80,C4,C4,C4,C4,C4
81,C4,C4,C4,C4,C4
82,C4,C4,C4,C4,C4
83,C4,C4,C4,C4,C4
84,C4,C4,C4,C4,C4
85,C2,C2,C2,C2,C4
86,C2,C2,C2,C2,C4
87,C2,C2,C2,C2,C4
88,C2,C2,C2,C2,C4
89,C2,C2,C2,C2,C4
90,C2,C2,C2,C2,C4
91,C2,C2,C2,C2,C4
92,C2,C2,C2,C2,C4
93,C2,C2,C2,C2,C4
94,C2,C2,C2,C2,C4
95,C2,C2,C2,C2,C4
96,C2,C2,C2,C2,C4
97,C2,C2,C2,C2,C4
98,C2,C2,C1,C1,C4
99,C2,C2,C1,C1,C4
100,C1,C1,C1,C1,C4
101,C1,C1,C1,C1,C4
102,C1,C1,C1,C1,C4
103,C1,C1,C1,C1,C4
104,C1,C1,C1,C1,C4
105,C1,C1,C1,C1,C4
106,C1,C1,C1,C1,C4
107,C1,C1,C1,C1,C4
