frame_idx,config,f1
0,C1,1.0
1,C1,1.0
2,C1,1.0
3,C1,1.0
4,C1,1.0
5,C1,1.0
6,C1,1.0
7,C1,1.0
8,C1,1.0
9,C1,1.0
10,C1,1.0
11,C1,1.0
12,C1,1.0
13,C1,1.0
14,C1,1.0
15,C1,1.0
16,C1,1.0
17,C1,1.0
18,C1,1.0
19,C1,1.0
20,C1,1.0
21,C1,1.0
22,C1,1.0
23,C1,1.0
24,C1,1.0
25,C1,1.0
26,C1,1.0
27,C1,1.0
28,C1,1.0
29,C1,1.0
30,C1,1.0
31,C1,1.0
32,C1,1.0
33,C1,1.0
34,C1,1.0
35,C1,1.0
36,C1,1.0
37,C1,1.0
38,C1,1.0
39,C1,1.0
40,C1,1.0
41,C1,1.0
42,C1,1.0
43,C1,1.0
44,C1,1.0
45,C1,1.0
46,C1,1.0
47,C1,1.0
48,C1,1.0
49,C1,1.0
50,C1,1.0
51,C1,1.0
52,C1,1.0
53,C1,1.0
54,C1,1.0
55,C1,1.0
56,C1,1.0
57,C1,1.0
58,C1,1.0
59,C1,1.0
60,C1,1.0
61,C1,1.0
62,C1,1.0
63,C1,1.0
64,C1,1.0
65,C1,1.0
66,C1,1.0
67,C1,1.0
68,C1,1.0
69,C1,1.0
70,C1,1.0
71,C1,1.0
72,C1,1.0
73,C1,1.0
74,C1,1.0
75,C1,1.0
76,C1,1.0
77,C1,1.0
78,C1,1.0
79,C1,1.0
80,C1,1.0
81,C1,1.0
82,C1,1.0
83,C1,1.0
84,C1,1.0
85,C1,1.0
86,C1,1.0
87,C1,1.0
88,C1,1.0
89,C1,1.0
90,C1,1.0
91,C1,1.0
92,C1,1.0
93,C1,1.0
94,C1,1.0
95,C1,1.0
96,C1,1.0
97,C1,1.0
98,C1,1.0
99,C1,1.0
100,C1,1.0
101,C1,1.0
102,C1,1.0
103,C1,1.0
104,C1,1.0
105,C1,1.0
106,C1,1.0
107,C1,1.0
108,C1,1.0
109,C1,1.0
110,C1,1.0
111,C1,1.0
112,C1,1.0
113,C1,1.0
114,C1,1.0
115,C1,1.0
116,C1,1.0
117,C1,1.0
118,C1,1.0
119,C1,1.0
120,C1,1.0
121,C1,1.0
122,C1,1.0
123,C1,1.0
124,C1,1.0
125,C1,1.0
126,C1,1.0
127,C1,1.0
128,C1,1.0
129,C1,1.0
130,C1,1.0
131,C1,1.0
132,C1,1.0
133,C1,1.0
134,C1,1.0
135,C1,1.0
136,C1,1.0
137,C1,1.0
138,C1,1.0
139,C1,1.0
140,C1,1.0
141,C1,1.0
142,C1,1.0
143,C1,1.0
144,C1,1.0
145,C1,1.0
146,C1,1.0
147,C1,1.0
148,C1,1.0
149,C1,1.0
150,C1,1.0
151,C1,1.0
152,C1,1.0
153,C1,1.0
154,C1,1.0
155,C1,1.0
156,C1,1.0
157,C1,1.0
158,C1,1.0
0,C2,1.0
1,C2,1.0
2,C2,1.0
3,C2,1.0
4,C2,1.0
5,C2,1.0
6,C2,1.0
7,C2,1.0
8,C2,1.0
9,C2,1.0
10,C2,1.0
11,C2,1.0
12,C2,1.0
13,C2,1.0
14,C2,1.0
15,C2,1.0
16,C2,1.0
17,C2,1.0
18,C2,1.0
19,C2,1.0
20,C2,1.0
21,C2,1.0
22,C2,1.0
23,C2,1.0
24,C2,1.0
25,C2,1.0
26,C2,1.0
27,C2,1.0
28,C2,1.0
29,C2,1.0
30,C2,1.0
31,C2,1.0
32,C2,1.0
33,C2,1.0
34,C2,1.0
35,C2,1.0
36,C2,1.0
37,C2,1.0
38,C2,1.0
